text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description,,,,
f'er,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
f@ck,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
f@cker bunny,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
f@g,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
f@gg0t,,,,,faggot,,,sexual orientation / gender,,,3,Severe
f@gging,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
f@ggot,,,,,faggot,,,sexual orientation / gender,,,3,Severe
f@gs,,,,,faggot,,,sexual orientation / gender,,,3,Severe
f@gshit,,,,,shit,fag,,sexual orientation / gender,,,2.8,Severe
f@k,,,,,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
f0ck,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
f0cked,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
f0cker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
f0ckers,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
face fuck,,,,,fuck,,,sexual anatomy / sexual acts,,,2.8,Severe
fack,,,,,fuck,,,sexual anatomy / sexual acts,,,1.4,Mild
fackuhs,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fag,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
fag asses,,,,,faggot,ass,,sexual orientation / gender,,,2.8,Severe
fag bag,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
fag hag,,,,,faggot,hag,,sexual orientation / gender,,,2.6,Severe
fag queen,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
fag0t,,,,,faggot,,,sexual orientation / gender,,,3,Severe
faget,,,,,faggot,,,sexual orientation / gender,,,3,Severe
fagg0t,,,,,faggot,,,sexual orientation / gender,,,3,Severe
fagging,,,,,faggot,,,sexual orientation / gender,,,3,Severe
faggo,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
faggot,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
faggot mofoes,,,,,faggot,motherfucker,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
faggot mothafuckers,,,,,motherfucker,faggot,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
faggot nob jokeys,,,,,faggot,knob,,sexual anatomy / sexual acts,sexual orientation / gender,,3,Severe
faggot nobjockies,,,,,faggot,knob,,sexual orientation / gender,sexual anatomy / sexual acts,,3,Severe
faggot son-of-a-bitch,,,,,faggot,bitch,,sexual orientation / gender,other / general insult,,3,Severe
faggoting,,,,,faggot,,,sexual orientation / gender,,,3,Severe
faggots,,,,,faggot,,,sexual orientation / gender,,,3,Severe
faggs,,,,,faggot,,,sexual orientation / gender,,,3,Severe
faggy,,,,,faggot,,,sexual orientation / gender,,,3,Severe
fagot,,,,,faggot,,,sexual orientation / gender,,,2.8,Severe
fags,,,,,faggot,,,sexual orientation / gender,,,3,Severe
fagshit,,,,,faggot,shit,,bodily fluids / excrement,sexual orientation / gender,,3,Severe
fart-fucker,,,,,fuck,,,sexual anatomy / sexual acts,bodily fluids / excrement,,2.2,Strong
fatass,,,,,ass,,,sexual anatomy / sexual acts,physical attributes,,1.2,Mild
fatasses,,,,,ass,,,sexual anatomy / sexual acts,physical attributes,,1.2,Mild
fccuker,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fck,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
fck you,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcka,,,,,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
fckahz,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcked,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fckedup,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fcker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fckin,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fcking,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
Fckk,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fckked,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fckking,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcks,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fcktard,,,,,fuck,retard,,sexual anatomy / sexual acts,mental disability,,2.8,Severe
fckyeah,,,,,fuck,,,other / general insult,,,1.6,Strong
fcuk,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fcuked,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcuker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.4,Strong
fcukers,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcuking,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcukker,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fcuks,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
fcvking,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
feck,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
feck arse,,,,,arse,,,sexual anatomy / sexual acts,sexual orientation / gender,,2.2,Strong
fecker,,,,,fuck,,,sexual anatomy / sexual acts,,,2.2,Strong
feg,,,,,faggot,,,sexual orientation / gender,,,2.4,Strong
fellatio aficionado,,,,,fellatio,,,sexual anatomy / sexual acts,,,2,Strong
fellator,,,,,fellatio,,,sexual anatomy / sexual acts,,,1.6,Strong
fick,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
finger,,,,,finger,,,sexual anatomy / sexual acts,,,1,Mild
finger fuck,,,,,fuck,,,sexual anatomy / sexual acts,,,2.6,Severe
fingerbanged,,,,,finger,,,sexual anatomy / sexual acts,,,1.6,Strong
fingerpop,,,,,finger,,,sexual anatomy / sexual acts,,,1.4,Mild
fk bunny,,,,,fuck,,,sexual anatomy / sexual acts,,,2,Strong
fkbny,,,,,fuck,,,sexual anatomy / sexual acts,,,1.6,Strong
fked,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fker,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.4,Strong
fking,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
fkings,,,,,fuck,,,sexual anatomy / sexual acts,,,1.8,Strong
fkker,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2.2,Strong
flamer,,,,,flamer,,,sexual orientation / gender,,,2,Strong
flamers,,,,,flamer,,,sexual orientation / gender,,,2.8,Severe
focker,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,2,Strong
fook,,,,,fuck,,,sexual anatomy / sexual acts,other / general insult,,1.6,Strong
